Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
35,0,890,2,2,3,4,49,4,0,97,3,1,7,4,2,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0
36,0,852,1,5,4,1,51,2,0,82,2,1,3,1,2,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0
33,1,1141,2,1,3,1,52,3,0,42,4,2,1,1,2,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0
35,0,464,1,4,2,6,53,3,1,75,3,1,2,4,3,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0
27,0,1240,1,2,4,1,54,4,0,33,3,1,2,1,3,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0
26,0,1357,1,25,3,1,55,1,1,48,1,1,2,3,1,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1
27,1,994,2,8,3,1,56,4,1,37,3,3,1,3,1,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0
30,1,721,1,1,2,2,57,3,0,58,3,2,2,4,1,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0
41,0,1360,1,12,3,5,58,2,0,49,3,5,8,3,2,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,1
34,2,1065,2,23,4,4,60,2,1,72,3,2,1,3,1,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0
37,0,408,1,19,2,1,61,2,1,73,3,1,3,2,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0
46,1,1211,2,5,4,4,62,1,1,98,3,2,1,4,1,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0
35,0,1229,1,8,1,1,63,4,1,36,4,1,2,4,2,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0
48,0,626,1,1,2,1,64,1,1,98,2,3,2,3,1,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,1
28,0,1434,1,5,4,5,65,3,1,50,3,1,2,3,1,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1
44,0,1488,2,1,5,4,68,2,0,75,3,2,1,1,3,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0
35,2,1097,1,11,2,2,70,3,1,79,2,3,5,1,2,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0
26,0,1443,2,23,3,4,72,3,0,47,2,2,1,4,2,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0
33,1,515,1,1,2,1,73,1,0,98,3,3,8,4,1,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0
35,1,853,2,18,5,1,74,2,1,71,3,3,1,1,2,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0
35,0,1142,1,23,4,2,75,3,0,30,3,1,2,1,2,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0
31,0,655,1,7,4,1,76,4,1,48,3,2,2,4,3,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0
37,0,1115,1,1,4,1,77,1,1,51,2,2,4,3,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0
32,0,427,1,1,3,2,78,1,1,33,3,2,4,4,2,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0
38,1,653,1,29,5,1,79,4,0,50,3,2,2,4,1,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0
50,0,989,1,7,2,2,80,2,0,43,2,5,8,3,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0
59,0,1435,2,25,3,1,81,1,0,99,3,3,1,1,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0
36,0,1223,1,8,3,5,83,3,0,59,3,3,5,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0
55,0,836,1,8,3,2,84,4,0,33,3,4,6,3,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0
36,1,1195,1,11,3,1,85,2,1,95,2,2,4,2,1,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0
45,0,1339,1,7,3,1,86,2,1,59,3,3,3,1,3,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0
35,1,664,1,1,3,2,88,2,1,79,3,1,3,1,2,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0
36,0,318,1,9,3,2,90,4,1,79,2,1,3,3,2,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1
59,1,1225,2,1,1,1,91,1,0,57,2,2,1,3,1,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0
29,0,1328,1,2,3,1,94,3,1,76,3,1,3,2,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0
31,0,1082,1,1,4,2,95,3,1,87,3,1,3,2,1,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0
32,0,548,1,1,3,1,96,2,1,66,3,2,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0
36,0,132,1,6,3,1,97,2,0,55,4,1,2,4,2,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0
31,0,746,1,8,4,1,98,3,0,61,3,2,4,4,1,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0
35,0,776,2,1,4,4,100,3,1,32,2,2,1,1,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0
45,0,193,1,6,4,6,101,4,1,52,3,3,8,1,2,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0
37,0,397,1,7,4,2,102,1,1,30,3,3,8,3,1,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0
46,0,945,3,5,2,2,103,2,1,80,3,2,3,2,3,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0
30,0,852,1,1,1,1,104,4,1,55,2,2,2,4,2,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0
35,0,1214,1,1,3,2,105,2,1,30,2,1,3,3,1,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0
55,0,111,2,1,2,1,106,1,1,70,3,3,1,4,2,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0
38,2,573,1,6,3,2,107,2,0,79,1,2,3,4,3,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0
34,0,1153,1,1,2,2,110,1,1,94,3,2,4,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0
56,0,1400,1,7,3,1,112,4,1,49,1,3,4,4,1,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0
23,0,541,2,2,1,5,113,3,1,62,3,1,7,1,3,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0
51,0,432,1,9,4,1,116,4,1,96,3,1,2,4,2,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0
30,0,288,1,2,3,1,117,3,1,99,2,2,5,4,2,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0
46,0,669,2,9,2,2,118,3,1,64,2,3,1,4,1,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1
40,1,530,1,1,4,1,119,3,1,78,2,4,5,2,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0
51,0,632,2,21,4,4,120,3,1,71,3,2,1,4,1,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0
30,0,1334,2,4,2,2,121,3,0,63,2,2,1,2,3,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0
46,1,638,1,1,3,2,124,3,1,40,2,3,5,1,2,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0
32,0,1093,2,6,4,2,125,2,1,87,3,2,1,3,1,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0
54,0,1217,1,2,4,5,126,1,0,60,3,3,8,3,2,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0
24,0,1353,2,3,2,6,128,1,0,33,3,2,1,3,2,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0
28,2,120,2,4,3,2,129,2,1,43,3,2,1,3,2,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0
58,0,682,2,10,4,2,131,4,1,37,3,4,1,3,1,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0
44,2,489,1,23,3,2,132,2,1,67,3,2,2,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,0
37,0,807,3,6,4,3,133,3,1,63,3,1,3,1,3,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,1
32,0,827,1,1,1,1,134,4,1,71,3,1,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0
20,1,871,1,6,3,1,137,4,0,66,2,1,2,4,1,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1
34,0,665,1,6,4,6,138,1,0,41,3,2,3,3,1,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0
37,2,1040,1,2,2,1,139,3,1,100,2,2,5,4,3,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0
59,2,1420,3,2,4,3,140,3,0,32,2,5,6,4,2,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,0
50,1,1115,1,1,3,1,141,1,0,73,3,5,8,2,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0
25,0,240,2,5,3,4,142,3,1,46,2,2,1,3,1,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,1
25,0,1280,1,7,1,2,143,4,1,64,2,1,3,4,2,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0
22,0,534,1,15,3,2,144,2,0,59,3,1,2,4,1,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0
51,1,1456,1,1,4,2,145,1,0,30,2,3,5,1,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0
34,1,658,1,7,3,1,147,1,1,66,1,2,2,3,1,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1
54,2,142,3,26,3,3,148,4,0,30,4,4,6,4,1,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0
24,0,1127,1,18,1,1,150,2,1,52,3,1,2,3,2,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0
34,0,1031,1,6,4,1,151,3,0,45,2,2,3,2,3,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0
37,0,1189,2,3,3,1,152,3,1,87,3,3,1,4,1,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0
34,0,1354,1,5,3,2,153,3,0,45,2,3,6,1,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0
36,1,1467,2,11,2,5,154,2,0,92,3,3,1,4,2,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0
36,0,922,1,3,2,1,155,1,0,39,3,1,2,4,3,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,0
43,1,394,2,26,2,1,158,3,1,92,3,4,6,4,2,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0
30,1,1312,1,23,3,1,159,1,1,96,1,1,3,3,3,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,0
33,2,750,2,22,2,4,160,3,1,95,3,2,1,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,0
56,0,441,1,14,4,1,161,2,0,72,3,1,3,2,2,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,1
51,0,684,1,6,3,1,162,1,1,51,3,5,8,3,1,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0
31,0,249,2,6,4,1,163,2,1,76,1,2,1,3,2,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,1
26,0,841,1,6,3,6,164,3,0,46,2,1,3,2,2,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,0
58,0,147,1,23,4,2,165,4,0,94,3,3,5,4,2,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,1
19,0,528,2,22,1,4,167,4,1,50,3,1,7,3,1,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,1
22,0,594,1,2,1,5,169,3,1,100,3,1,2,4,2,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0
49,0,470,1,20,4,2,170,3,0,96,3,2,4,1,2,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,0
43,1,957,1,28,3,2,171,2,0,72,4,1,3,3,1,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,0
50,1,809,2,12,3,4,174,3,0,77,3,3,1,4,1,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,0
31,0,542,2,20,3,1,175,2,0,71,1,2,1,3,2,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1
41,0,802,2,9,1,1,176,3,1,96,3,3,1,3,3,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,0
26,0,1355,3,25,1,1,177,3,0,61,3,1,3,3,2,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,0
36,0,216,1,6,2,2,178,2,1,84,3,2,4,2,3,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0
51,1,1150,1,8,4,1,179,1,1,53,1,3,4,4,1,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,1
39,0,1329,2,4,4,1,182,4,0,47,2,2,1,3,2,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0
25,0,959,2,28,3,1,183,1,1,41,2,2,1,3,2,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,0
30,0,1240,3,9,3,3,184,3,1,48,3,2,3,4,2,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,0
32,0,1033,1,9,3,2,190,1,0,41,3,1,2,1,1,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,1
45,0,1316,1,29,3,2,192,3,1,83,3,1,3,4,1,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,0
38,0,364,1,3,5,5,193,4,0,32,3,2,3,3,1,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,0
30,0,438,1,18,3,1,194,1,0,75,3,1,3,3,1,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,0
32,1,689,2,9,2,2,195,4,1,35,1,2,1,4,3,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,0
30,0,201,1,5,3,5,197,4,0,84,3,1,3,1,3,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,0
30,0,1427,1,2,1,2,198,2,1,35,2,1,2,4,1,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,0
41,1,857,1,10,3,1,199,4,1,91,2,4,6,1,3,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0
41,0,933,1,9,4,1,200,3,1,94,3,1,2,1,2,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0
19,0,1181,1,3,1,2,201,2,0,79,3,1,2,2,1,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,0
40,1,1395,1,26,3,2,202,2,0,54,3,2,3,2,3,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,0
35,0,662,2,1,5,4,204,3,1,94,3,3,1,2,2,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,0
53,0,1436,2,6,2,4,205,2,1,34,3,2,7,3,2,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,0
45,0,194,1,9,3,1,206,2,1,60,3,2,2,2,3,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0
32,1,967,2,8,3,4,207,2,0,43,3,3,1,4,1,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,0
29,2,1496,1,1,1,5,208,4,1,41,3,2,4,3,2,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,0
51,0,1169,1,7,4,2,211,2,1,34,2,2,4,3,2,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0
58,0,1145,1,9,3,2,214,2,0,75,2,1,3,2,2,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,0
40,0,630,2,4,4,4,215,3,1,67,2,3,1,4,2,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0
34,1,303,2,2,4,4,216,3,0,75,3,1,7,3,2,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,0
22,0,1256,1,19,1,2,217,3,1,80,3,1,3,4,2,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0
27,2,691,1,9,3,2,218,4,1,57,3,1,3,2,3,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,0
28,0,440,1,21,3,2,221,3,1,42,3,1,3,4,2,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,0
57,0,334,1,24,2,1,223,3,1,83,4,3,5,4,3,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,0
27,2,1450,1,3,3,2,224,3,1,79,2,1,3,3,3,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,0
50,0,1452,1,11,3,1,226,3,0,53,3,5,6,2,1,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4,0
41,0,465,1,14,3,1,227,1,1,56,3,1,3,3,3,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,0
30,0,1339,2,5,3,1,228,2,0,41,3,3,1,4,2,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0
38,0,702,2,1,4,1,230,1,0,59,2,2,1,4,1,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,0
32,0,120,1,6,5,1,231,3,1,43,3,1,3,3,1,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0
27,0,1157,1,17,3,5,233,3,1,51,3,1,3,2,2,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,0
19,1,602,2,1,1,5,235,3,0,100,1,1,7,1,1,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0,1
36,1,1480,1,3,2,2,238,4,1,30,3,1,2,2,1,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,0
30,2,111,1,9,3,2,239,3,1,66,3,2,2,1,3,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,0
45,0,1268,2,4,2,1,240,3,0,30,3,2,1,1,3,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,0
56,0,713,1,8,3,1,241,3,0,67,3,1,3,1,3,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,0
33,0,134,1,2,3,1,242,3,1,90,3,1,3,4,1,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,0
19,0,303,1,2,3,1,243,2,1,47,2,1,2,4,1,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,1
46,0,526,2,1,2,4,244,2,0,92,3,3,1,1,3,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0
38,0,1380,1,9,2,1,245,3,0,75,3,1,2,4,1,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0
31,0,140,1,12,1,2,246,3,0,95,3,1,3,4,2,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0
34,0,629,1,27,2,2,247,4,0,95,3,1,3,2,1,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,0
41,0,1356,2,20,2,4,248,2,0,70,3,1,7,2,1,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,1
50,0,328,1,1,3,2,249,3,1,86,2,1,2,3,2,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0
53,0,1084,1,13,2,2,250,4,0,57,4,2,4,1,3,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,0
33,0,931,1,14,3,2,252,4,0,72,3,1,3,2,2,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,0
40,0,989,1,4,1,2,253,4,0,46,3,5,6,3,2,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9,0
55,0,692,1,14,4,2,254,3,1,61,4,5,8,2,1,18722,13339,8,0,11,3,4,0,36,3,3,24,15,2,15,0
34,1,1069,1,2,1,1,256,4,1,45,2,2,4,3,2,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,0
51,0,313,1,3,3,2,258,4,0,98,3,4,5,2,1,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0
52,0,699,1,1,4,1,259,3,1,65,2,5,6,3,2,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0
27,0,894,1,9,3,2,260,4,0,99,3,1,3,2,1,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0
35,0,556,1,23,2,1,261,2,1,50,2,2,4,3,2,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,1
43,2,1344,1,7,3,2,262,4,1,37,4,1,3,4,3,2089,5228,4,0,14,3,4,3,7,3,4,5,4,2,2,0
45,2,1195,1,2,2,2,264,1,1,65,2,4,6,4,2,16792,20462,9,0,23,4,4,1,22,1,3,20,8,11,8,0
37,0,290,1,21,3,1,267,2,1,65,4,1,3,1,2,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,0
35,1,138,1,2,3,2,269,2,0,37,3,2,2,2,1,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0
42,2,926,1,21,2,2,270,3,0,36,3,2,4,3,3,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,0
38,0,1261,1,2,4,1,271,4,1,88,3,2,4,3,2,6553,7259,9,0,14,3,2,0,14,3,3,1,0,0,0,0
38,0,1084,1,29,3,5,273,4,1,54,3,2,4,4,2,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,0
27,1,472,1,1,1,5,274,3,1,60,2,2,4,1,2,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,0
49,2,1002,1,18,4,1,275,4,1,92,3,2,4,4,3,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,0
34,1,878,1,10,4,2,277,4,1,43,3,1,3,3,3,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,0
